facility_id,drg_code,total_discharges,avg_submitted_charges,avg_total_payment,avg_medicare_payment,state,state_drg_avg,pct_of_state_avg
010001,291,240,37792.945833,9564.675,7821.8791667,AL,9627.494024807844,99.34750388163344
010005,291,54,18144.777778,9248.5185185,7376.6851852,AL,9627.494024807844,96.06361213695577
010006,291,173,39697.075145,8990.867052,7243.4104046,AL,9627.494024807844,93.38740724047813
010007,291,13,11209.076923,9324.9230769,8094.1538462,AL,9627.494024807844,96.85722009145695
010011,291,133,40181.398496,10672.87218,7986.2180451,AL,9627.494024807844,110.85825815626016
010012,291,34,49375.352941,8914.5882353,7644.0,AL,9627.494024807844,92.59510535482184
010016,291,46,64705.913043,8119.0217391,6907.5434783,AL,9627.494024807844,84.3316206499754
010019,291,114,25446.657895,8176.3596491,6871.0,AL,9627.494024807844,84.92718487314971
010023,291,106,31434.169811,11278.90566,8432.0283019,AL,9627.494024807844,117.15307878599404
010024,291,143,38216.545455,8559.9300699,6798.8671329,AL,9627.494024807844,88.91129974054539
010029,291,119,26462.201681,9918.6302521,7811.907563,AL,9627.494024807844,103.02400839244319
010033,291,176,52721.551136,15616.517045,9597.7727273,AL,9627.494024807844,162.20749662123723
010035,291,140,26111.507143,9538.0071429,8561.7285714,AL,9627.494024807844,99.07050701171815
010036,291,56,39496.464286,8822.0,7831.1071429,AL,9627.494024807844,91.63339886026135
010039,291,355,40952.659155,9462.6,7912.3352113,AL,9627.494024807844,98.28725913116176
010040,291,55,106066.03636,8274.9818182,7265.0,AL,9627.494024807844,85.95156534896068
010045,291,14,14129.571429,9359.2857143,8102.1428571,AL,9627.494024807844,97.21414202058467
010046,291,98,57658.438776,7909.2755102,6950.2755102,AL,9627.494024807844,82.15300357309609
010049,291,46,59866.26087,7909.3043478,6428.9782609,AL,9627.494024807844,82.15330310690962
010055,291,110,69186.872727,8495.5272727,7039.9545455,AL,9627.494024807844,88.2423531067272
010056,291,128,28860.3125,9264.5234375,7321.4609375,AL,9627.494024807844,96.22985393319848
010061,291,26,24348.384615,9921.9230769,8721.9230769,AL,9627.494024807844,103.05821069671381
010065,291,27,14262.666667,9535.7037037,7416.4444444,AL,9627.494024807844,99.04658137547193
010069,291,13,20250.0,10196.846154,9335.3076923,,,
010078,291,96,47901.270833,8969.9479167,7786.8645833,AL,9627.494024807844,93.17012187788953
010079,291,42,15522.928571,8482.0714286,7377.3095238,AL,9627.494024807844,88.10258834483457
010083,291,76,91091.657895,9364.0131579,7739.0131579,AL,9627.494024807844,97.26324559403606
010085,291,124,20558.975806,8754.3387097,7147.3790323,AL,9627.494024807844,90.9306065227574
010087,291,37,28598.972973,17713.405405,11524.837838,AL,9627.494024807844,183.987706036032
010089,291,46,58940.565217,9130.3695652,7729.9565217,AL,9627.494024807844,94.83640853656343
010090,291,135,31309.681481,8626.4296296,7567.0814815,AL,9627.494024807844,89.60202527648077
010092,291,287,25929.432056,9830.6585366,8109.7630662,AL,9627.494024807844,102.11025331481534
010099,291,21,18245.238095,9382.2380952,8639.3809524,AL,9627.494024807844,97.45254654039903
010100,291,139,30287.201439,9426.5539568,7034.705036,AL,9627.494024807844,97.91285180245174
010101,291,17,76201.411765,9677.8235294,8833.3529412,AL,9627.494024807844,100.52276848432695
010103,291,95,72953.968421,11886.136842,7863.1684211,AL,9627.494024807844,123.4603398493123
010104,291,178,93671.61236,9334.3146067,7371.1853933,AL,9627.494024807844,96.95476915018189
010108,291,58,24357.844828,10782.603448,7243.0,AL,9627.494024807844,111.99802794180609
010112,291,13,15157.384615,9469.9230769,7996.3846154,AL,9627.494024807844,98.36332333728986
010113,291,160,31095.925,9382.29375,7431.50625,AL,9627.494024807844,97.45312462229508
010114,291,36,30116.0,9048.4444444,7560.7777778,AL,9627.494024807844,93.98545894792804
010118,291,41,48667.365854,9408.6585366,7841.804878,AL,9627.494024807844,97.72697352349475
010125,291,16,24544.1875,8899.375,7599.375,AL,9627.494024807844,92.4370867129946
010126,291,13,15278.461538,9658.5384615,8673.9230769,AL,9627.494024807844,100.32245604735938
010129,291,20,29591.0,10377.65,9337.65,AL,9627.494024807844,107.79180930426106
010130,291,19,20027.789474,9098.2105263,6506.2631579,AL,9627.494024807844,94.50237520642442
010131,291,77,94903.493506,8203.7662338,6348.4155844,AL,9627.494024807844,85.21185484676256
010139,291,40,143547.2,11915.85,8104.075,AL,9627.494024807844,123.76896801281401
010144,291,76,28099.75,9344.6842105,8079.25,AL,9627.494024807844,97.062477384259
010148,291,29,9786.5862069,9071.137931,7969.2068966,AL,9627.494024807844,94.22117435363509
010149,291,113,31228.026549,9518.3362832,7940.7433628,AL,9627.494024807844,98.8661873865975
010164,291,27,28415.037037,9365.4814815,8180.2962963,AL,9627.494024807844,97.27849695224224
020001,291,161,101720.3913,15726.354037,12049.236025,AK,18392.540428,85.50397971701008
020006,291,113,101021.0177,16505.707965,14397.141593,AK,18392.540428,89.74131675618031
020008,291,22,54334.181818,25563.0,22913.545455,AK,18392.540428,138.98569422788384
020012,291,61,59173.459016,21561.508197,17971.52459,AK,18392.540428,117.22963601143266
020017,291,98,106024.82653,12364.285714,10602.346939,AK,18392.540428,67.22445853742505
020024,291,60,49876.616667,18985.583333,17540.483333,AK,18392.540428,103.22436646161819
020026,291,64,71576.6875,18041.34375,16985.78125,AK,18392.540428,98.09054828844984
030002,291,76,71890.828947,12840.881579,10382.434211,AZ,11177.995426539585,114.87642541445557
030006,291,227,45523.268722,10396.515419,9223.8414097,AZ,11177.995426539585,93.00876429342473
030007,291,54,71197.444444,14166.351852,12222.981481,AZ,11177.995426539585,126.7342784768479
030010,291,34,90873.735294,9491.7058824,8353.1176471,AZ,11177.995426539585,84.91420438287282
030011,291,43,85754.372093,9358.3488372,7485.1162791,AZ,11177.995426539585,83.7211725367211
030012,291,153,38099.464052,10697.653595,9517.2287582,AZ,11177.995426539585,95.70279094586921
030013,291,199,38510.105528,10782.939698,9509.1658291,AZ,11177.995426539585,96.46577303474632
030014,291,92,75383.293478,9835.3586957,8783.7391304,AZ,11177.995426539585,87.98857326733376
030016,291,81,51624.37037,10857.382716,9735.3703704,AZ,11177.995426539585,97.13175128182318
030022,291,28,70155.75,30102.142857,28311.892857,AZ,11177.995426539585,269.2982212671994
030023,291,119,60013.722689,17418.983193,15383.97479,AZ,11177.995426539585,155.83279942701196
030024,291,60,57751.05,14817.883333,10358.033333,AZ,11177.995426539585,132.56297544923248
030030,291,11,80773.818182,11195.090909,10176.909091,AZ,11177.995426539585,100.15293871403657
030036,291,258,68815.217054,9655.4883721,8413.3565891,AZ,11177.995426539585,86.37942675459733
030037,291,13,46024.615385,10686.538462,9701.9230769,AZ,11177.995426539585,95.60335332243264
030038,291,142,67087.774648,9858.1619718,8533.9577465,AZ,11177.995426539585,88.19257474729375
030043,291,75,36660.453333,12425.293333,11329.066667,AZ,11177.995426539585,111.15851151181357
030055,291,106,83163.150943,11381.584906,10180.773585,AZ,11177.995426539585,101.82134158846621
030061,291,310,47732.732258,9104.6419355,7710.3548387,AZ,11177.995426539585,81.45147307792878
030062,291,54,29696.055556,12509.462963,11353.907407,AZ,11177.995426539585,111.91150546813743
030064,291,66,49346.80303,16155.393939,11683.727273,AZ,11177.995426539585,144.5285431110727
030065,291,105,62338.0,10742.104762,9129.2190476,AZ,11177.995426539585,96.1004576589407
030069,291,58,74781.086207,9816.1724138,9154.1034483,AZ,11177.995426539585,87.81692995233968
030083,291,27,93702.185185,9466.0740741,8369.7777778,AZ,11177.995426539585,84.68489843559053
030085,291,130,72178.946154,9513.8692308,8085.2461538,AZ,11177.995426539585,85.11248097500113
030087,291,222,65752.887387,9193.2792793,7824.3378378,AZ,11177.995426539585,82.24443586255788
030088,291,156,54948.673077,9474.7051282,7913.1602564,AZ,11177.995426539585,84.7621131218616
030089,291,138,50201.130435,10338.471014,8963.884058,AZ,11177.995426539585,92.489490463144
030092,291,121,64111.049587,9620.6859504,8087.0495868,AZ,11177.995426539585,86.06807914376033
030093,291,267,49026.490637,9152.8052434,8005.1610487,AZ,11177.995426539585,81.88234915241391
030094,291,102,85549.882353,9975.6078431,8839.4803922,AZ,11177.995426539585,89.24326287891664
030101,291,71,110453.6338,9259.5492958,8132.7887324,AZ,11177.995426539585,82.83729722965644
030103,291,331,47251.540785,16419.909366,10076.858006,AZ,11177.995426539585,146.8949372354787
030105,291,150,38470.94,8859.66,7553.8466667,AZ,11177.995426539585,79.25982845694112
030110,291,49,83438.816327,10247.428571,9203.4285714,AZ,11177.995426539585,91.67501130542452
030111,291,29,44945.655172,13833.62069,11945.827586,AZ,11177.995426539585,123.75761629992479
030114,291,101,57477.277228,8728.029703,7360.2574257,AZ,11177.995426539585,78.08224435552458
030115,291,115,54259.730435,10969.947826,9515.5130435,AZ,11177.995426539585,98.13877540112762
030119,291,181,74124.712707,9616.558011,8569.121547,AZ,11177.995426539585,86.03114998748067
030121,291,38,41767.131579,11131.921053,9154.9473684,AZ,11177.995426539585,99.58781184119837
