facility_id,hospital_name,type,ownership,emergency_services,rating
010001,SOUTHEAST HEALTH MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0
010005,MARSHALL MEDICAL CENTERS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010006,NORTH ALABAMA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010007,MIZELL MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0
010008,CRENSHAW COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,
010011,ST. VINCENT'S EAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
010012,DEKALB REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,3.0
010016,SHELBY BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
010018,CALLAHAN EYE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
010019,HELEN KELLER HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0
010021,DALE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010022,FLOYD CHEROKEE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,
010023,BAPTIST MEDICAL CENTER SOUTH,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0
010024,JACKSON HOSPITAL & CLINIC INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010033,UNIVERSITY OF ALABAMA HOSPITAL,Acute Care Hospitals,Government - State,Yes,3.0
010034,COMMUNITY HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
010035,CULLMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0
010036,ANDALUSIA HEALTH,Acute Care Hospitals,Proprietary,Yes,2.0
010039,HUNTSVILLE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0
010040,GADSDEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,1.0
010044,MARION REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
010045,FAYETTE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0
010046,RIVERVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010049,MEDICAL CENTER ENTERPRISE,Acute Care Hospitals,Proprietary,Yes,3.0
010051,GREENE COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,
010052,LAKE MARTIN COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,
010055,FLOWERS HOSPITAL,Acute Care Hospitals,Proprietary,Yes,2.0
010056,ST VINCENT'S BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
010058,BIBB MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010059,LAWRENCE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010061,HIGHLANDS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010062,WIREGRASS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010065,RUSSELL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
010073,CLAY COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes,1.0
010079,ATHENS LIMESTONE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010083,BALDWIN HEALTH,Acute Care Hospitals,Proprietary,Yes,4.0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010086,NORTHWEST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,4.0
010087,USA HEALTH UNIVERSITY HOSPITAL,Acute Care Hospitals,Government - State,Yes,2.0
010089,WALKER BAPTIST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,3.0
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0
010091,GROVE HILL MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010092,DCH REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0
010095,HALE COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010097,ELMORE COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,
010099,D W MCMILLAN MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010100,THOMAS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
010101,CITIZENS BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
010103,PRINCETON BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0
010104,GRANDVIEW MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010108,PRATTVILLE BAPTIST HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010110,BULLOCK COUNTY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,
010112,WHITFIELD REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010113,MOBILE INFIRMARY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,Acute Care Hospitals,Proprietary,Yes,2.0
010120,MONROE COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010125,LAKELAND COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,4.0
010126,TROY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes,
010128,JACKSON MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,
010129,NORTH BALDWIN INFIRMARY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
010130,ST VINCENT'S ST CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
010131,CRESTWOOD MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010138,HILL HOSPITAL OF SUMTER COUNTY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010139,BROOKWOOD BAPTIST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010144,SPRINGHILL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010148,EVERGREEN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2.0
010149,BAPTIST MEDICAL CENTER EAST,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0
01014F,BIRMINGHAM VA MEDICAL CENTER,Acute Care - Veterans Administration,Veterans Health Administration,Yes,5.0
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,Acute Care Hospitals,Proprietary,Yes,
010157,NORTH ALABAMA SHOALS HOSPITAL,Acute Care Hospitals,Proprietary,Yes,
010158,RUSSELLVILLE HOSPITAL,Acute Care Hospitals,Proprietary,Yes,2.0
010164,COOSA VALLEY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0
010168,JACK HUGHSTON MEMORIAL HOSPITAL,Acute Care Hospitals,Government - State,Yes,
010169,ATMORE COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
010173,ST VINCENT'S CHILTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes,
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,Acute Care - Veterans Administration,Veterans Health Administration,Yes,5.0
01021F,TUSCALOOSA VA MEDICAL CENTER,Acute Care - Veterans Administration,Veterans Health Administration,No,
010779,BULLOCK COUNTY HOSPITAL,Rural Emergency Hospital,Proprietary,Yes,
010780,EAMC - LANIER,Rural Emergency Hospital,Government - Hospital District or Authority,Yes,
010781,J PAUL JONES HOSPITAL,Rural Emergency Hospital,Government - Local,Yes,
011300,WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes,
011302,RED BAY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,
011304,OCHSNER CHOCTAW GENERAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,
011305,ST VINCENTS BLOUNT,Critical Access Hospitals,Voluntary non-profit - Private,No,
011306,TANNER MEDICAL CENTER-EAST ALABAMA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,
011307,MEDICAL CENTER BARBOUR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,
011308,CRENSHAW COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,
011309,WIREGRASS MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes,
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,Childrens,Voluntary non-profit - Private,Yes,
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,Childrens,Government - State,Yes,
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,Psychiatric,Proprietary,No,
014006,MOUNTAIN VIEW HOSPITAL,Psychiatric,Proprietary,No,
014007,BRYCE HOSPITAL,Psychiatric,Government - State,No,
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,Psychiatric,Government - State,Yes,
014014,BAYPOINTE BEHAVIORAL HEALTH,Psychiatric,Voluntary non-profit - Other,Yes,
014015,BEACON CHILDREN'S HOSPITAL,Psychiatric,Proprietary,No,
014016,"SANCTUARY AT THE WOODLANDS, THE",Psychiatric,Proprietary,No,
014017,EASTPOINTE HOSPITAL,Psychiatric,Voluntary non-profit - Other,No,
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,Psychiatric,Proprietary,No,
020001,PROVIDENCE ALASKA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0
020006,MAT-SU REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0
020008,BARTLETT REGIONAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes,5.0
020012,FAIRBANKS MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
020017,ALASKA REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes,2.0
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,Acute Care Hospitals,Tribal,Yes,
020024,CENTRAL PENINSULA GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.0
020026,ALASKA NATIVE MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes,3.0
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),Acute Care - Department of Defense,Department of Defense,Yes,
02014F,Bassett ACH (FT Wainwright),Acute Care - Department of Defense,Department of Defense,Yes,
021301,PROVIDENCE VALDEZ MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes,
021302,PROVIDENCE SEWARD HOSPITAL,Critical Access Hospitals,Government - Local,Yes,
021304,PETERSBURG MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes,
