hospital_name,city,state,star_rating,drg_description,hospital_price,national_avg_price,total_savings
"BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO",PLANO,TX,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",217163.42857,343781.97,126618.54
"MASSACHUSETTS GENERAL HOSPITAL",BOSTON,MA,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",324727.83333,442001.93,117274.1
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",AURORA,CO,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",325701.25,442001.93,116300.68
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",227491,343781.97,116290.97
"CEDARS-SINAI MEDICAL CENTER","LOS ANGELES",CA,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",341948.47059,442001.93,100053.46
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",114059.5,212502.52,98443.02
"CHRIST HOSPITAL",CINCINNATI,OH,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",249291.5,343781.97,94490.47
"HOUSTON METHODIST HOSPITAL",HOUSTON,TX,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",350323.58333,442001.93,91678.35
"INOVA FAIRFAX HOSPITAL","FALLS CHURCH",VA,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",266749.13333,343781.97,77032.84
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",AURORA,CO,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",266897.13636,343781.97,76884.84
"HACKENSACK UNIVERSITY MEDICAL CENTER",HACKENSACK,NJ,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",267822.08333,343781.97,75959.89
"BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO",PLANO,TX,5,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",138745.55556,212502.52,73756.97
"HACKENSACK UNIVERSITY MEDICAL CENTER",HACKENSACK,NJ,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",369516.08889,442001.93,72485.84
"SPECTRUM HEALTH","GRAND RAPIDS",MI,5,"LUNG TRANSPLANT",126933.45455,191796.07,64862.61
"CLEVELAND CLINIC",CLEVELAND,OH,5,"LUNG TRANSPLANT",128082.53333,191796.07,63713.53
"CLEVELAND CLINIC",CLEVELAND,OH,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",285760.53125,343781.97,58021.44
"NEW YORK-PRESBYTERIAN HOSPITAL","NEW YORK",NY,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",387329.46667,442001.93,54672.47
"MAYO CLINIC",JACKSONVILLE,FL,5,"LUNG TRANSPLANT",137963.54545,191796.07,53832.52
"HOUSTON METHODIST HOSPITAL",HOUSTON,TX,5,"LUNG TRANSPLANT",140037.13333,191796.07,51758.93
"DUKE UNIVERSITY HOSPITAL",DURHAM,NC,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",110792.11538,160038.24,49246.13
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",83615.181818,129875.54,46260.36
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",166631.625,212502.52,45870.9
"CEDARS-SINAI MEDICAL CENTER","LOS ANGELES",CA,5,"LUNG TRANSPLANT",148473.16667,191796.07,43322.9
"OKLAHOMA HEART HOSPITAL SOUTH, LLC","OKLAHOMA CITY",OK,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT",57247.625,100235.52,42987.9
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",302658.73333,343781.97,41123.24
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",AURORA,CO,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",119205.16667,160038.24,40833.08
"MAYO CLINIC HOSPITAL ROCHESTER",ROCHESTER,MN,5,"LUNG TRANSPLANT",152869.64706,191796.07,38926.42
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"ALLOGENEIC BONE MARROW TRANSPLANT",109804.20513,148431.28,38627.08
"OKLAHOMA HEART HOSPITAL, LLC","OKLAHOMA CITY",OK,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT",62671.266667,100235.52,37564.26
"ST VINCENT HEART CENTER",CARMEL,IN,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT",63748.444444,100235.52,36487.08
"MAYO CLINIC",JACKSONVILLE,FL,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",124789.34884,160038.24,35248.89
"NEW ENGLAND BAPTIST HOSPITAL",BOSTON,MA,5,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",71765.166667,106524.99,34759.82
"ST LUKES HOSPITAL BETHLEHEM",BETHLEHEM,PA,5,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",177759.64286,212502.52,34742.88
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC",62997.681818,97459.48,34461.8
"INTERMOUNTAIN MEDICAL CENTER",MURRAY,UT,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",126259.95652,160038.24,33778.29
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"LUNG TRANSPLANT",159051.38095,191796.07,32744.68
"UNC HOSPITALS","CHAPEL HILL",NC,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",409716.5,442001.93,32285.43
"CHRIST HOSPITAL",CINCINNATI,OH,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC",66246.428571,97459.48,31213.05
"MAYO CLINIC HOSPITAL ROCHESTER",ROCHESTER,MN,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",129483.36364,160038.24,30554.88
"BRIGHAM AND WOMEN'S HOSPITAL",BOSTON,MA,5,"LUNG TRANSPLANT",161302.71429,191796.07,30493.35
"STANFORD HEALTH CARE",STANFORD,CA,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",411580.25,442001.93,30421.68
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC",73768.785714,103858.44,30089.65
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC",15386.454545,45429.76,30043.31
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",183512.92857,212502.52,28989.59
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT",71579.578947,100235.52,28655.95
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC",58613,87157.39,28544.39
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",101374.54545,129875.54,28501
"SPECTRUM HEALTH","GRAND RAPIDS",MI,5,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",101451.10526,129875.54,28424.44
"HOUSTON METHODIST HOSPITAL",HOUSTON,TX,5,"ACUTE LEUKEMIA WITH MCC",49535.352941,77828.74,28293.38
"DUKE UNIVERSITY HOSPITAL",DURHAM,NC,5,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC",316212.05882,343781.97,27569.91
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC",40468.272727,67154.98,26686.7
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"MAJOR BLADDER PROCEDURES WITH MCC",38793.529412,65398.85,26605.32
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC",48087.1875,74232.01,26144.82
"BRIGHAM AND WOMEN'S HOSPITAL",BOSTON,MA,5,"LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC",72319.75,98410.02,26090.27
"KANSAS HEART HOSPITAL",WICHITA,KS,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT",38553.916667,64612.71,26058.79
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC",72130.2,97459.48,25329.28
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",52460.863636,77340.79,24879.93
"HOSPITAL OF UNIV OF PENNSYLVANIA",PHILADELPHIA,PA,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",417274.09091,442001.93,24727.84
"DUKE UNIVERSITY HOSPITAL",DURHAM,NC,5,"LUNG TRANSPLANT",167172.78571,191796.07,24623.28
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"ACUTE LEUKEMIA WITH MCC",53334.115385,77828.74,24494.62
"OKLAHOMA HEART HOSPITAL, LLC","OKLAHOMA CITY",OK,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",52867.178571,77340.79,24473.62
"UCSF MEDICAL CENTER","SAN FRANCISCO",CA,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",418282.31884,442001.93,23719.61
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",136455.15789,160038.24,23583.09
"AVERA HEART HOSPITAL OF SOUTH DAKOTA","SIOUX FALLS",SD,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",53927.2,77340.79,23413.59
"KANSAS HEART HOSPITAL",WICHITA,KS,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC",42970.911765,66327.12,23356.21
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC",37829.684211,61003.68,23173.99
"THE HEART HOSPITAL BAYLOR DENTON",DENTON,TX,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",54864.785714,77340.79,22476.01
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",190055.66667,212502.52,22446.85
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",107461.26923,129875.54,22414.27
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D",41665.166667,64040.83,22375.67
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS",39523.307692,61785.6,22262.3
"ST VINCENT HEART CENTER",CARMEL,IN,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",55460.443548,77340.79,21880.35
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"SPINAL FUSION EXCEPT CERVICAL WITH MCC",48567.636364,70273.23,21705.59
"OKLAHOMA HEART HOSPITAL, LLC","OKLAHOMA CITY",OK,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC",45776.470588,66327.12,20550.65
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC",45196.461538,65680.89,20484.43
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",35034.153846,55273.6,20239.45
"CLEVELAND CLINIC",CLEVELAND,OH,5,"WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D",43805.25,64040.83,20235.58
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC",62345.875,82564.4,20218.53
"REX HOSPITAL",RALEIGH,NC,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",57152.05,77340.79,20188.74
"BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO",PLANO,TX,5,"CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC",45582.692308,65680.89,20098.2
"KANSAS HEART HOSPITAL",WICHITA,KS,5,"CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC",34863.818182,54921.31,20057.49
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",41510.740741,61564.97,20054.23
"OKLAHOMA HEART HOSPITAL SOUTH, LLC","OKLAHOMA CITY",OK,5,"OTHER CARDIOTHORACIC PROCEDURES WITH MCC",29470.5,49339.06,19868.56
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",43259,63050.19,19791.19
"NEW YORK-PRESBYTERIAN HOSPITAL","NEW YORK",NY,5,"RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC",25655.333333,45429.76,19774.43
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",41486,61140.46,19654.46
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",AURORA,CO,5,"ACUTE LEUKEMIA WITH MCC",58199.043478,77828.74,19629.69
"BELLEVUE MEDICAL CENTER",BELLEVUE,NE,5,"REVISION OF HIP OR KNEE REPLACEMENT WITH MCC",31947.357143,51479.12,19531.76
"HOUSTON METHODIST HOSPITAL",HOUSTON,TX,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",140866.06897,160038.24,19172.17
"NYU LANGONE HOSPITALS","NEW YORK",NY,5,"RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC",26469,45429.76,18960.76
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",58560.589744,77340.79,18780.21
"AVERA HEART HOSPITAL OF SOUTH DAKOTA","SIOUX FALLS",SD,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC",47791.545455,66327.12,18535.57
"INOVA FAIRFAX HOSPITAL","FALLS CHURCH",VA,5,"ACUTE LEUKEMIA WITH MCC",59403.904762,77828.74,18424.83
"REX HOSPITAL",RALEIGH,NC,5,"OTHER O.R. PROCEDURES FOR INJURIES WITH MCC",24154.230769,42577.66,18423.43
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",42774,61140.46,18366.46
"CRYSTAL CLINIC ORTHOPAEDIC CENTER",AKRON,OH,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC",36977.307692,55000.05,18022.74
"OKLAHOMA HEART HOSPITAL SOUTH, LLC","OKLAHOMA CITY",OK,5,"ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC",38281.909091,56199.23,17917.32
"THEDACARE REGIONAL MED CTR - NEENAH",NEENAH,WI,5,"CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O",35716.833333,53577.04,17860.21
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC",37160.277778,55000.05,17839.77
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",37453.05,55273.6,17820.55
"MAYO CLINIC HOSPITAL ROCHESTER",ROCHESTER,MN,5,"RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC",27639.058824,45429.76,17790.7
"OKLAHOMA HEART HOSPITAL, LLC","OKLAHOMA CITY",OK,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",34670.916667,52290.8,17619.89
"HOUSTON METHODIST THE WOODLANDS HOSPITAL","THE WOODLANDS",TX,5,"OTHER O.R. PROCEDURES FOR INJURIES WITH MCC",24969,42577.66,17608.66
"NORTHERN WESTCHESTER HOSPITAL","MOUNT KISCO",NY,5,"OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC",30521.692308,48068.21,17546.52
"ASCENSION  SETON HAYS",KYLE,TX,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",43703.086957,61140.46,17437.37
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS",44417.545455,61785.6,17368.06
"BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL",TYLER,TX,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC",37749.818182,55000.05,17250.23
"NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL",WINFIELD,IL,5,"LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC",18716.6,35935,17218.4
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC",49144.08,66327.12,17183.04
"SENTARA MARTHA JEFFERSON HOSPITAL",CHARLOTTESVILLE,VA,5,"CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC",25604.736842,42595.09,16990.35
"INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL",PROVO,UT,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC",49353.090909,66327.12,16974.03
"ST. PATRICK HOSPITAL",MISSOULA,MT,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",60385.133333,77340.79,16955.66
"SENTARA MARTHA JEFFERSON HOSPITAL",CHARLOTTESVILLE,VA,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC",38048,55000.05,16952.05
"REX HOSPITAL",RALEIGH,NC,5,"AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC",29385.352941,46257.17,16871.82
