facility_id,location_id,hospital_name,type,ownership,address,emergency_service,rating
010001,10001,SOUTHEAST HEALTH MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,1108 ROSS CLARK CIRCLE,Yes,4
010005,10002,MARSHALL MEDICAL CENTERS,Acute Care Hospitals,Government - Hospital District or Authority,2505 U S HIGHWAY 431 NORTH,Yes,3
010006,10003,NORTH ALABAMA MEDICAL CENTER,Acute Care Hospitals,Proprietary,1701 VETERANS DRIVE,Yes,2
010007,10004,MIZELL MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,702 N MAIN ST,Yes,1
010011,10006,ST. VINCENT'S EAST,Acute Care Hospitals,Voluntary non-profit - Private,50 MEDICAL PARK EAST DRIVE,Yes,2
010012,10007,DEKALB REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,200 MED CENTER DRIVE,Yes,3
010016,10008,SHELBY BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,1000 FIRST STREET NORTH,Yes,2
010019,10010,HELEN KELLER HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,1300 SOUTH MONTGOMERY AVENUE,Yes,2
010021,10011,DALE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,126 HOSPITAL AVE,Yes,3
010023,10013,BAPTIST MEDICAL CENTER SOUTH,Acute Care Hospitals,Government - Hospital District or Authority,2105 EAST SOUTH BOULEVARD,Yes,1
010024,10014,JACKSON HOSPITAL & CLINIC INC,Acute Care Hospitals,Voluntary non-profit - Private,1725 PINE STREET,Yes,2
010029,10015,THE EAST ALABAMA HEALTHCARE AUTHORITY,Acute Care Hospitals,Government - Hospital District or Authority,2000 PEPPERELL PARKWAY,Yes,3
010033,10009,UNIVERSITY OF ALABAMA HOSPITAL,Acute Care Hospitals,Government - State,619 SOUTH 19TH STREET,Yes,3
010035,10017,CULLMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,1912 ALABAMA HIGHWAY 157,Yes,2
010036,10018,ANDALUSIA HEALTH,Acute Care Hospitals,Proprietary,849 SOUTH THREE NOTCH STREET,Yes,2
010039,10019,HUNTSVILLE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,101 SIVLEY RD,Yes,2
010040,10020,GADSDEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,1007 GOODYEAR AVENUE,Yes,1
010045,10022,FAYETTE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,1653 TEMPLE AVENUE NORTH,Yes,2
010046,10023,RIVERVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,600 SOUTH THIRD STREET,Yes,2
010049,10024,MEDICAL CENTER ENTERPRISE,Acute Care Hospitals,Proprietary,400 N EDWARDS STREET,Yes,3
010055,10027,FLOWERS HOSPITAL,Acute Care Hospitals,Proprietary,4370 WEST MAIN STREET,Yes,2
