location_id,city,state,state_full,zip,county,country
10001,DOTHAN,AL,Alabama,36301,HOUSTON,United States
10002,BOAZ,AL,Alabama,35957,MARSHALL,United States
10003,FLORENCE,AL,Alabama,35630,LAUDERDALE,United States
10004,OPP,AL,Alabama,36467,COVINGTON,United States
10005,LUVERNE,AL,Alabama,36049,CRENSHAW,United States
10006,BIRMINGHAM,AL,Alabama,35235,JEFFERSON,United States
10007,FORT PAYNE,AL,Alabama,35968,DE KALB,United States
10008,ALABASTER,AL,Alabama,35007,SHELBY,United States
10009,BIRMINGHAM,AL,Alabama,35233,JEFFERSON,United States
10010,SHEFFIELD,AL,Alabama,35660,COLBERT,United States
10011,OZARK,AL,Alabama,36360,DALE,United States
10012,CENTRE,AL,Alabama,35960,CHEROKEE,United States
10013,MONTGOMERY,AL,Alabama,36116,MONTGOMERY,United States
10014,MONTGOMERY,AL,Alabama,36106,MONTGOMERY,United States
10015,OPELIKA,AL,Alabama,36801,LEE,United States
10016,TALLASSEE,AL,Alabama,36078,ELMORE,United States
10017,CULLMAN,AL,Alabama,35058,CULLMAN,United States
10018,ANDALUSIA,AL,Alabama,36420,COVINGTON,United States
10019,HUNTSVILLE,AL,Alabama,35801,MADISON,United States
10020,GADSDEN,AL,Alabama,35903,ETOWAH,United States
10021,HAMILTON,AL,Alabama,35570,MARION,United States
10022,FAYETTE,AL,Alabama,35555,FAYETTE,United States
10023,GADSDEN,AL,Alabama,35901,ETOWAH,United States
10024,ENTERPRISE,AL,Alabama,36330,COFFEE,United States
10025,EUTAW,AL,Alabama,35462,GREENE,United States
10026,DADEVILLE,AL,Alabama,36853,TALLAPOOSA,United States
10027,DOTHAN,AL,Alabama,36302,HOUSTON,United States
10028,BIRMINGHAM,AL,Alabama,35205,JEFFERSON,United States
10029,CENTREVILLE,AL,Alabama,35042,BIBB,United States
10030,MOULTON,AL,Alabama,35650,LAWRENCE,United States
10031,SCOTTSBORO,AL,Alabama,35768,JACKSON,United States
10032,GENEVA,AL,Alabama,36340,GENEVA,United States
10033,ALEXANDER CITY,AL,Alabama,35010,TALLAPOOSA,United States
10034,ASHLAND,AL,Alabama,36251,CLAY,United States
10035,ANNISTON,AL,Alabama,36207,CALHOUN,United States
10036,ATHENS,AL,Alabama,35611,LIMESTONE,United States
10037,FOLEY,AL,Alabama,36535,BALDWIN,United States
10038,DECATUR,AL,Alabama,35601,MORGAN,United States
10039,WINFIELD,AL,Alabama,35594,FAYETTE,United States
10040,MOBILE,AL,Alabama,36617,MOBILE,United States
10041,JASPER,AL,Alabama,35502,WALKER,United States
10042,MOBILE,AL,Alabama,36608,MOBILE,United States
10043,GROVE HILL,AL,Alabama,36451,CLARKE,United States
10044,TUSCALOOSA,AL,Alabama,35401,TUSCALOOSA,United States
10045,GREENSBORO,AL,Alabama,36744,HALE,United States
10046,WETUMPKA,AL,Alabama,36092,ELMORE,United States
10047,BREWTON,AL,Alabama,36426,ESCAMBIA,United States
10048,FAIRHOPE,AL,Alabama,36532,BALDWIN,United States
10049,TALLADEGA,AL,Alabama,35160,TALLADEGA,United States
10050,BIRMINGHAM,AL,Alabama,35211,JEFFERSON,United States
10051,BIRMINGHAM,AL,Alabama,35243,JEFFERSON,United States
10052,PRATTVILLE,AL,Alabama,36067,AUTAUGA,United States
